id;DATEREMISE;DATEREC
PE-00662;2020-05-06 19:07:00;2020-05-07 04:50:00
PE-00663;2020-05-06 19:09:00;2020-05-07 04:42:00
PE-00664;2020-05-06 19:10:00;2020-05-07 04:43:00
PE-00689;2020-05-06 19:11:00;2020-05-07 04:41:00
PE-00688;2020-05-06 19:11:00;2020-05-07 04:41:00
PE-00665;2020-05-06 19:19:00;2020-05-07 04:43:00
PE-00666;2020-05-06 19:20:00;2020-05-07 04:27:00
PE-00691;2020-05-06 19:23:00;2020-05-07 04:41:00
PE-00690;2020-05-06 19:23:00;2020-05-07 04:41:00
PE-00667;2020-05-06 19:23:00;2020-05-07 04:50:00
PE-00668;2020-05-06 19:23:00;2020-05-07 04:50:00
PE-00669;2020-05-06 19:29:00;2020-05-07 06:32:00
PE-00576;2020-05-07 04:57:00;2020-05-07 11:59:00
PE-00582;2020-05-07 04:58:00;2020-05-07 11:47:00
PE-00697;2020-05-07 05:02:00;2020-05-07 11:56:00
PE-00670;2020-05-07 05:03:00;2020-05-07 12:25:00
PE-00596;2020-05-07 05:06:00;2020-05-07 11:45:00
PE-00574;2020-05-07 05:06:00;2020-05-07 12:25:00
PE-00569;2020-05-07 05:07:00;2020-05-07 11:52:00
PE-00700;2020-05-07 05:10:00;2020-05-07 12:00:00
PE-00671;2020-05-07 05:11:00;2020-05-07 11:47:00
PE-00578;2020-05-07 05:12:00;2020-05-07 12:41:00
PE-00672;2020-05-07 05:13:00;2020-05-07 12:41:00
PE-00564;2020-05-07 05:15:00;2020-05-07 12:45:00
PE-00673;2020-05-07 05:17:00;2020-05-07 11:50:00
PE-00702;2020-05-07 05:17:00;2020-05-07 12:21:00
PE-00605;2020-05-07 05:18:00;2020-05-07 12:20:00
PE-00675;2020-05-07 05:21:00;2020-05-07 21:00:00
PE-00676;2020-05-07 05:24:00;2020-05-07 12:20:00
PE-00628;2020-05-07 05:29:00;2020-05-07 12:21:00
PE-00650;2020-05-07 05:30:00;2020-05-07 17:00:00
PE-00703;2020-05-07 05:33:00;2020-05-07 12:00:00
PE-00567;2020-05-07 05:40:00;2020-05-07 09:43:00
PE-00580;2020-05-07 05:41:00;2020-05-07 16:00:00
PE-00591;2020-05-07 05:45:00;2020-05-07 14:00:00
PE-00621;2020-05-07 05:45:00;2020-05-07 14:00:00
PE-00705;2020-05-07 05:45:00;2020-05-07 21:00:00
PE-00563;2020-05-07 05:50:00;2020-05-07 13:00:00
PE-00588;2020-05-07 05:50:00;2020-05-07 13:00:00
PE-00589;2020-05-07 06:00:00;2020-05-07 15:20:00
PE-00615;2020-05-07 06:02:00;2020-05-07 17:10:00
PE-00611;2020-05-07 06:04:00;2020-05-07 17:45:00
PE-00623;2020-05-07 06:04:00;2020-05-07 17:51:00
PE-00627;2020-05-07 06:22:00;2020-05-07 10:17:00
PE-00678;2020-05-07 06:28:00;2020-05-07 13:00:00
PE-00617;2020-05-07 06:35:00;2020-05-07 12:00:00
PE-00616;2020-05-07 06:47:00;2020-05-07 14:30:00
PE-00600;2020-05-07 06:50:00;2020-05-07 18:15:00
PE-00587;2020-05-07 06:58:00;2020-05-07 12:00:00
PE-00585;2020-05-07 07:03:00;2020-05-07 19:07:00
PE-00622;2020-05-07 07:04:00;2020-05-07 17:10:00
PE-00592;2020-05-07 07:05:00;2020-05-07 18:30:00
PE-00624;2020-05-07 07:07:00;2020-05-07 18:46:00
PE-00711;2020-05-07 07:09:00;2020-05-07 19:07:00
PE-00583;2020-05-07 07:11:00;2020-05-07 14:23:00
PE-00620;2020-05-07 07:12:00;2020-05-07 21:00:00
PE-00610;2020-05-07 07:15:00;2020-05-07 13:00:00
PE-00679;2020-05-07 07:15:00;2020-05-07 15:30:00
PE-00680;2020-05-07 07:21:00;2020-05-07 09:45:00
PE-00708;2020-05-07 07:50:00;2020-05-07 12:00:00
PE-00707;2020-05-07 07:50:00;2020-05-07 12:00:00
PE-00709;2020-05-07 07:54:00;2020-05-07 12:00:00
PE-00682;2020-05-07 07:56:00;2020-05-07 16:50:00
PE-00631;2020-05-07 08:35:00;2020-05-07 11:20:00
PE-00710;2020-05-07 08:36:00;2020-05-07 10:19:00
PE-00643;2020-05-07 08:36:00;2020-05-07 21:00:00
PE-00595;2020-05-07 09:14:00;2020-05-07 15:00:00
PE-00594;2020-05-07 09:16:00;2020-05-07 15:00:00
PE-00683;2020-05-07 09:24:00;2020-05-07 09:45:00
PE-00686;2020-05-07 09:50:00;2020-05-07 11:46:00
PE-00685;2020-05-07 09:50:00;2020-05-07 11:46:00
PE-00644;2020-05-07 09:59:00;2020-05-07 15:03:00
PE-00713;2020-05-07 11:45:00;2020-05-07 18:46:00
PE-00599;2020-05-07 11:46:00;2020-05-07 18:45:00
PE-00602;2020-05-07 11:46:00;2020-05-07 18:47:00
PE-00715;2020-05-07 11:50:00;2020-05-07 19:00:00
PE-00687;2020-05-07 11:50:00;2020-05-07 19:11:00
PE-00692;2020-05-07 11:50:00;2020-05-07 21:00:00
PE-00694;2020-05-07 11:51:00;2020-05-07 19:05:00
PE-00634;2020-05-07 11:51:00;2020-05-07 19:12:00
PE-00695;2020-05-07 11:52:00;2020-05-07 19:11:00
PE-00696;2020-05-07 11:53:00;2020-05-07 19:03:00
PE-00693;2020-05-07 11:54:00;2020-05-07 19:03:00
PE-00701;2020-05-07 11:57:00;2020-05-07 14:55:00
PE-00699;2020-05-07 11:59:00;2020-05-07 18:58:00
PE-00642;2020-05-07 12:05:00;2020-05-07 19:11:00
PE-00647;2020-05-07 12:12:00;2020-05-07 19:05:00
PE-00637;2020-05-07 12:27:00;2020-05-07 19:06:00
PE-00607;2020-05-07 13:03:00;2020-05-07 18:46:00
PE-00704;2020-05-07 13:14:00;2020-05-07 18:45:00
PE-00716;2020-05-07 13:15:00;2020-05-07 18:45:00
PE-00717;2020-05-07 13:17:00;2020-05-07 19:10:00
PE-00606;2020-05-07 13:18:00;2020-05-07 18:45:00
PE-00706;2020-05-07 13:57:00;2020-05-07 21:00:00
