"couple";"Global_min";"Global_max";"Global_mean";"Global_median";"Global_sd";"HCW_min";"HCW_max";"HCW_mean";"HCW_median";"HCW_sd";"Patient_min";"Patient_max";"Patient_mean";"Patient_median";"Patient_sd";"Paramedical_min";"Paramedical_max";"Paramedical_mean";"Paramedical_median";"Paramedical_sd";"Medical_min";"Medical_max";"Medical_mean";"Medical_median";"Medical_sd";"Environment_min";"Environment_max";"Environment_mean";"Environment_median";"Environment_sd";"Contact_min";"Contact_max";"Contact_mean";"Contact_median";"Contact_sd";"beta";"nu";"ED_min";"ED_max";"ED_median";"ED_mean";"ED_sd"
"sim_7_55-2";0;0,559375;0,4426875;0,521875;0,190368406883064;0;1;0,812835820895522;0,955223880597015;0,349300588345903;0;0,263440860215054;0,176021505376344;0,204301075268817;0,0769996820340785;0;1;0,825453397853987;0,979381443298969;0,354730785099414;0;1;0,779474474474474;0,918918918918919;0,336282355289023;0;0,20625;0,127578125;0,14375;0,0574254602575227;0;0,415625;0,315109375;0,3703125;0,136501620925581;7;27,5;3,03090277777778;67,3625;39,0777777777778;34,3656579861111;13,3873587732028
"sim_7_65-2";0;0,55;0,4616875;0,521875;0,171141003533496;0;1;0,848246268656716;0,962686567164179;0,314263254308718;0;0,247311827956989;0,183198924731183;0,204301075268817;0,0691600914162893;0;1;0,860853671365453;0,979381443298969;0,318924655087199;0;1;0,814744744744745;0,918918918918919;0,303150139716098;0;0,215625;0,145640625;0,1625;0,05615386248151;0;0,403125;0,316046875;0,35625;0,118238400366444;7;32,5;3,01423611111111;58,0743055555556;39,1550347222222;35,1094548611111;11,701998619814
"sim_7_75-2";0;0,559375;0,44509375;0,525;0,191377286996992;0;1;0,818134328358209;0,962686567164179;0,351504890112202;0;0,252688172043011;0,176344086021505;0,204301075268817;0,0770689946326649;0;1;0,830488638754471;0,979381443298969;0,356782081416972;0;1;0,785379129129129;0,918918918918919;0,338659687318063;0;0,2375;0,151171875;0,175;0,0669523116463001;0;0,39375;0,293921875;0,3421875;0,127437831822057;7;37,5;3,03611111111111;71,0260416666667;38,9793402777778;33,8127135416667;13,3075880839138
"sim_7_85-2";0;0,55625;0,456390625;0,525;0,18098997373667;0;1;0,839514925373134;0,970149253731343;0,33269585873711;0;0,247311827956989;0,180376344086022;0,204301075268817;0,0725283437974714;0;1;0,852510519671786;0,979591836734694;0,337778984254881;0;1;0,805007507507507;0,918918918918919;0,320369182189341;0;0,259375;0,169328125;0,190625;0,0691117122833246;0;0,378125;0,2870625;0,328125;0,115007322385409;7;42,5;3,00173611111111;67,0256944444444;38,9550347222222;34,6354913194444;12,4488521110073
"sim_7-2_0";0;0,51875;0,310390625;0,4375;0,208293454032281;0;0,880597014925373;0,548880597014925;0,772388059701492;0,367886101772996;0;0,258064516129032;0,138575268817204;0,188172043010753;0,0944013004075293;0;0,88659793814433;0,554642857142857;0,783505154639175;0,372051281131079;0;0,891891891891892;0,53359984984985;0,72972972972973;0,359474258225352;0;0;0;0;0;0;0,51875;0,310390625;0,4375;0,208293454032281;3,5;0;3,05104166666667;88,4135416666667;44,7161458333333;37,2243333333333;22,1332346754215
"sim_7-2_10";0;0,521875;0,348078125;0,478125;0,22019303233368;0;0,955223880597015;0,63115671641791;0,865671641791045;0,399066226435415;0;0,252688172043011;0,144139784946237;0,193548387096774;0,0921100505055869;0;0,969072164948454;0,643990111508521;0,877551020408163;0,406896015918918;0;0,918918918918919;0,597214714714715;0,810810810810811;0,380145495480171;0;0,146875;0,071640625;0,090625;0,0476973896179467;0;0,434375;0,2764375;0,375;0,175347331196654;3,5;10;3,009375;62,7010416666667;40,7914930555556;32,713890625;17,8726269046292
"sim_7-2_15";0;0,5375;0,37415625;0,4875;0,211126517071497;0;0,962686567164179;0,683582089552239;0,888059701492537;0,385530240818322;0;0,247311827956989;0,151236559139785;0,193548387096774;0,0862261001051461;0;0,979591836734694;0,699124763307385;0,907216494845361;0,394463908218272;0;0,945945945945946;0,642458708708709;0,833333333333333;0,364086047855143;0;0,18125;0,1019375;0,1265625;0,0595252825703111;0;0,4;0,27221875;0,35;0,15422583034194;3,5;15;3,00277777777778;61,1708333333333;40,2697916666667;33,3235416666667;16,5608378554176
"sim_7-2_15-2";0;0,528125;0,355390625;0,471875;0,211624326755831;0;0,940298507462687;0,641305970149254;0,858208955223881;0,381813174012711;0;0,263440860215054;0,149408602150538;0,193548387096774;0,0903896314072965;0;0,969387755102041;0,65418156953503;0,865979381443299;0,389764654655054;0;0,945945945945946;0,607195945945946;0,805555555555556;0,362665662640353;0;0,103125;0,05753125;0,071875;0,0357517388752002;0;0,471875;0,297859375;0,39375;0,177678150361302;3,5;7,5;3,02152777777778;75,6548611111111;40,9923611111111;34,3680642361111;18,1592279841101
"sim_7-2_20";0;0,534375;0,39740625;0,496875;0,202653252446322;0;0,962686567164179;0,728022388059702;0,91044776119403;0,371000949552334;0;0,247311827956989;0,159220430107527;0,193548387096774;0,0824480619350072;0;0,989690721649485;0,742915527035557;0,927835051546392;0,378672737650948;0;0,972972972972973;0,688573573573574;0,861111111111111;0,352713662072682;0;0,2125;0,1304375;0,159375;0,0684267755932607;0;0,390625;0,26696875;0,328125;0,137056914432128;3,5;20;3,15763888888889;60,0670138888889;40,0208333333333;34,2874427083333;15,5191824959387
"sim_7-2_25";0;0,546875;0,4263125;0,5;0,18334336308601;0;0,977611940298508;0,785820895522388;0,925373134328358;0,337674575974707;0;0,241935483870968;0,167311827956989;0,193548387096774;0,0733959459759686;0;1;0,801499579213129;0,948453608247423;0,34455887840458;0;1;0,744271771771772;0,864864864864865;0,321841392082442;0;0,246875;0,16171875;0,1875;0,0715528680895933;0;0,365625;0,26459375;0,3078125;0,11527671042766;3,5;25;3,31493055555556;62,2524305555556;40,1142361111111;35,8014149305556;13,8456735391274
